node,label,type,degree,in_degree,out_degree,betweenness,pagerank
acc:karolyadira12,karolyadira12,account,2,1,1,0.0,0.0030605388887805073
acc:liss_gonzz,liss_gonzz,account,2,1,1,0.0,0.0030605388887805073
acc:lyn._.0406,lyn._.0406,account,2,1,1,0.0,0.0030605388887805073
acc:mariae9587,mariae9587,account,2,1,1,0.0,0.0030605388887805073
acc:maril0.0,maril0.0,account,2,1,1,0.0,0.0030605388887805073
acc:mesatalero,mesatalero,account,2,1,1,0.0,0.0030605388887805073
acc:miguel.flechas,miguel.flechas,account,2,1,1,0.0,0.0030605388887805073
acc:nartem_17,nartem_17,account,2,1,1,0.0,0.0030605388887805073
acc:nathagonzalez_2503,nathagonzalez_2503,account,2,1,1,0.0,0.0030605388887805073
acc:nicolas_rocha2203,nicolas_rocha2203,account,2,1,1,0.0,0.0030605388887805073
acc:owenfsuhe,owenfsuhe,account,2,1,1,0.0,0.0030605388887805073
acc:pathobetancourt,pathobetancourt,account,2,1,1,0.0,0.0030605388887805073
acc:ronaldtores58eg009,ronaldtores58eg009,account,2,1,1,0.0,0.0030605388887805073
acc:s_a.871_,s_a.871_,account,2,1,1,0.0,0.0030605388887805073
acc:santiago_username,santiago_username,account,2,1,1,0.0,0.0030605388887805073
acc:santigl_0016,santigl_0016,account,2,1,1,0.0,0.0030605388887805073
acc:sara_herrera_02,sara_herrera_02,account,2,1,1,0.0,0.0030605388887805073
acc:sebas.u03,sebas.u03,account,2,1,1,0.0,0.0030605388887805073
acc:sindy_matamoros07,sindy_matamoros07,account,2,1,1,0.0,0.0030605388887805073
acc:stevanfelipenovoa,stevanfelipenovoa,account,2,1,1,0.0,0.0030605388887805073
acc:talerogabrielamesa,talerogabrielamesa,account,2,1,1,0.0,0.0030605388887805073
acc:tenoriohasbleidy,tenoriohasbleidy,account,2,1,1,0.0,0.0030605388887805073
acc:uuan.sebastiang_23,uuan.sebastiang_23,account,2,1,1,0.0,0.0030605388887805073
acc:yefersonamortegui,yefersonamortegui,account,2,1,1,0.0,0.0030605388887805073
acc:yessica0797_,yessica0797_,account,2,1,1,0.0,0.0030605388887805073
acc:yihatemo23,yihatemo23,account,2,1,1,0.0,0.0030605388887805073
acc:__deleted__bhiebefhjbfhcgfjb,__deleted__bhiebefhjbfhcgfjb,account,1,1,0,0.0,0.0030605388887805073
acc:_caicedoo0,_caicedoo0,account,1,1,0,0.0,0.0030605388887805073
acc:_dannaal,_dannaal,account,1,1,0,0.0,0.0030605388887805073
acc:_dramosc_,_dramosc_,account,1,1,0,0.0,0.0030605388887805073
acc:_kbaquero,_kbaquero,account,1,1,0,0.0,0.0030605388887805073
acc:_laurasofia24_,_laurasofia24_,account,1,1,0,0.0,0.0030605388887805073
acc:_leidy_1.1,_leidy_1.1,account,1,1,0,0.0,0.0030605388887805073
acc:_lu_lynx_,_lu_lynx_,account,1,1,0,0.0,0.0030605388887805073
acc:_ximena_20_b,_ximena_20_b,account,1,1,0,0.0,0.0030605388887805073
acc:a.dayanna09,a.dayanna09,account,1,1,0,0.0,0.0030605388887805073
acc:abriguerra,abriguerra,account,1,1,0,0.0,0.0030605388887805073
acc:aleja.avilaagudelo,aleja.avilaagudelo,account,1,1,0,0.0,0.0030605388887805073
acc:alejabermud,alejabermud,account,1,1,0,0.0,0.0030605388887805073
acc:alexa_nieto20,alexa_nieto20,account,1,1,0,0.0,0.0030605388887805073
