node,label,type,degree,in_degree,out_degree,betweenness,pagerank
acc:lalalalisa_m,lalalalisa_m,account,1,1,0,0.0,0.005353121646739253
acc:lewishamilton,lewishamilton,account,1,1,0,0.0,0.005353121646739253
acc:luisilloelborrachillo,luisilloelborrachillo,account,1,1,0,0.0,0.005353121646739253
acc:luisitocomunica,luisitocomunica,account,1,1,0,0.0,0.005353121646739253
acc:mai.eywa,mai.eywa,account,1,1,0,0.0,0.005353121646739253
acc:mari_tewagii_7,mari_tewagii_7,account,1,1,0,0.0,0.005353121646739253
acc:marvel,marvel,account,1,1,0,0.0,0.005353121646739253
acc:marvelstudios,marvelstudios,account,1,1,0,0.0,0.005353121646739253
acc:melissabenoist,melissabenoist,account,1,1,0,0.0,0.005353121646739253
acc:momazos_perrones,momazos_perrones,account,1,1,0,0.0,0.005353121646739253
acc:momos_creed_team,momos_creed_team,account,1,1,0,0.0,0.005353121646739253
acc:momosbloud,momosbloud,account,1,1,0,0.0,0.005353121646739253
acc:movistarkoi,movistarkoi,account,1,1,0,0.0,0.005353121646739253
acc:nigg_.1,nigg_.1,account,1,1,0,0.0,0.005353121646739253
acc:officialfranzd,officialfranzd,account,1,1,0,0.0,0.005353121646739253
acc:perronesarmy,perronesarmy,account,1,1,0,0.0,0.005353121646739253
acc:playstation_la,playstation_la,account,1,1,0,0.0,0.005353121646739253
acc:rendo.valeria,rendo.valeria,account,1,1,0,0.0,0.005353121646739253
acc:sandracastroxcz,sandracastroxcz,account,1,1,0,0.0,0.005353121646739253
acc:scuderiaferrari,scuderiaferrari,account,1,1,0,0.0,0.005353121646739253
acc:sensacionesf1,sensacionesf1,account,1,1,0,0.0,0.005353121646739253
acc:soypulido_,soypulido_,account,1,1,0,0.0,0.005353121646739253
acc:tadashitpost,tadashitpost,account,1,1,0,0.0,0.005353121646739253
acc:thecw,thecw,account,1,1,0,0.0,0.005353121646739253
acc:thedaarick28,thedaarick28,account,1,1,0,0.0,0.005353121646739253
acc:therealvictorgarber,therealvictorgarber,account,1,1,0,0.0,0.005353121646739253
acc:universidades_confesiones,universidades_confesiones,account,1,1,0,0.0,0.005353121646739253
acc:usergioarboleda,usergioarboleda,account,1,1,0,0.0,0.005353121646739253
acc:vegetta777,vegetta777,account,1,1,0,0.0,0.005353121646739253
acc:verlamente,verlamente,account,1,1,0,0.0,0.005353121646739253
acc:weidacongyoumugua,weidacongyoumugua,account,1,1,0,0.0,0.005353121646739253
acc:__carlosmartines28__,__carlosmartines28__,account,1,0,1,0.0,0.004199333991888858
acc:anii15818,anii15818,account,1,0,1,0.0,0.004199333991888858
acc:burilsalizbeth,burilsalizbeth,account,1,0,1,0.0,0.004199333991888858
acc:camilahoyos0824,camilahoyos0824,account,1,0,1,0.0,0.004199333991888858
acc:cuarzo_99,cuarzo_99,account,1,0,1,0.0,0.004199333991888858
acc:felipee.6666,felipee.6666,account,1,0,1,0.0,0.004199333991888858
acc:fusion_pro_1,fusion_pro_1,account,1,0,1,0.0,0.004199333991888858
acc:harol4040,harol4040,account,1,0,1,0.0,0.004199333991888858
acc:hesterpadilla,hesterpadilla,account,1,0,1,0.0,0.004199333991888858
acc:julian_rincon_18,julian_rincon_18,account,1,0,1,0.0,0.004199333991888858
acc:lee_l4_biografia_por_faowo7777,lee_l4_biografia_por_faowo7777,account,1,0,1,0.0,0.004199333991888858
acc:mateo.perez_953,mateo.perez_953,account,1,0,1,0.0,0.004199333991888858
acc:mateo.pissarello,mateo.pissarello,account,1,0,1,0.0,0.004199333991888858
acc:nasaappsbogota,nasaappsbogota,account,1,0,1,0.0,0.004199333991888858
acc:sergioarboleda_confesiones,sergioarboleda_confesiones,account,1,0,1,0.0,0.004199333991888858
